questions,answers
How are items cleaned?,"We take great care to clean our items. Every item is professionally dry cleaned and our team uses a wide array of techniques to make sure each piece is thoroughly cleaned, pressed, inspected for quality, and packaged with care so that it’s ready for you to wear."
How can I contact FashionPass?,"Ask us anything. Give us a call, text, DM, chat a stylist or shoot us an email. We can be reached Monday - Saturday, 8am-4pm CST.Text: (323)375-0733Email: hello@fashionpass.comInstagram: @fashionpass"
How do I return my order with FedEx GROUND?,"When you're ready, return all of your items using the provided pre-paid FedEx GROUND label and packaging, and take it to your nearest FedEx or FedEx Walgreens location. Do not drop your package into a FedEx Express Drop Box or your return may be significantly delayed. Click here to see your closest FedEx GROUND drop off locations."
How do I reprint my return label?,You can easily reprint your return label from the My Orders page.
How long does shipping take?,"You can expect your package to arrive in just 2-3 business days! Please note, our order cutoff time is 12PM PST. If you need your items sooner, please select one of the expedited options at checkout."
What time will my shipment arrive?,Deliveries are made between 8am and 8pm during weekdays and Saturdays. We provide tracking information so you can see when your package is out for delivery.
How do I update my billing and shipping information?,"You can update your billing information and shipping addresses in the My Account menu. Find your name in the top right of the website, hover over it, and select the “My Account” option. Please note that the primary shipping address stored in your account settings will be the default shipping address."
Do you ship internationally?,"At this time we only ship orders within the U.S., including Hawaii and Alaska. Orders must also be returned from within the U.S."
How much does shipping cost?,"We offer free standard shipping on every order, including returns with your FashionPass membership. We also offer additional shipping options including expedited 2-day and overnight which can be found on the checkout page."
Can you deliver to a hotel?,"Sure! If you're shipping to a hotel, please put the hotel name in the company field and attention your name in the name field at checkout. Please make sure the hotel concierge is expecting your delivery."
Is a signature required for delivery?,"Nope, no signature required! Please note, it is your responsibility to provide us with information such as gate access code instructions or any details that may prevent your package from being delivered. It is also your responsibility to provide us with a safe and secure shipping address. We are not responsible for any packages left unattended."
How do I pause or cancel my FashionPass membership?,"You can pause or cancel your membership by going to My FashionPass in the My Account menu. From there, you can click pause cancel membership. Pausing and canceling are essentially the same thing, so once your account is paused, it will remain paused and you will not be charged for the membership unless you choose to reactivate.Keep in mind, you’ll need to return your order before the end of your current billing cycle for the cancellation to take effect. If your package is not scanned in at FedEx by the end of your current billing cycle, your account will remain active and you will continue to be billed for your FashionPass membership.Please note, if you are currently on a Legacy plan, you will be unable to return to your Legacy plan pricing once you make any changes to your account by upgrading or downgrading."
Can I purchase my membership items?,"If you would like to purchase one or more of your items, simply hold onto anything you’d like to buy. Once we receive your return, you will automatically be charged the discounted member price for any missing items and you will be emailed a receipt for your purchase."
Can I purchase my entire box?,"Can't part with any of your items? Just reach out to our Member Concierge team to let them know that you'd like to purchase your whole box, and they'll take care of putting through the purchase and clearing your account to place a new order right away :)."
What happens if an item arrives damaged?,"Oh no! We hope this never happens, but if you do receive an item in less than perfect condition, please let us know within 24 hours of the delivery of your items and we would be happy to help :)."
What happens if I lose or damage an item?,"The insurance included in the cost of your monthly membership covers minor mishaps and general wear and tear. If the item is damaged beyond repair, lost, or stolen, you’ll be charged the member price of the item."
What if one of my rental items doesn’t fit?,Option 1: Return your current items and you will be able to select new items within two days of the scan on your return.Option 2: Not ready to send back all of your items? Select up to 2 additional items for $19.95 each (plus tax if applicable) and we'll get the item(s) shipped out to you with free standard shipping. Rush shipping options are available at checkout.
Am I able to wash or dry clean my items?,Please do not attempt to wash or dry clean your items. We professionally dry clean every item and we have a team of experts who know exactly how to clean and care for each item.
Am I able to tailor any of my membership items?,"You are not permitted to tailor any of our items, however you can purchase our temporary fashion tape should you need to alter the length of one of your items."
How will I be billed for my membership?,"The card on file will be automatically charged for the price of your monthly membership every 30 days. If you need to update or edit your credit card, you can do so at any time from the Billing Info section in the My Account menu."
Do you charge late fees for the unlimited membership?,"No late fees for keeping your items! So long as your membership is in good standing, you can keep your items for as long as you want. Please note, all past due subscription invoices that are late over 30 days will incur a 10% late fee penalty."
What condition are the items in?,"Each and every item is very carefully dry cleaned and inspected by our team of experts before they are re-accepted into our inventory, ensuring you always receive items in like-new condition."
How do I redeem my FashionPass credit?,"Your credit is automatically applied towards your first month of FashionPass. Any leftover credit or additional credit earned will be automatically applied towards your next month or purchase, whichever comes first."
How will I know if my friend signed up using my code?,You will automatically receive an email notification as soon as your friend signs p.
How long is shipping?,"Standard shipping is typically around 2-3 business days from when your order is placed, but we do offer expedited shipping options upon checkout if you would ever like to receive your items sooner! Please note, shipping times can vary during peak seasons and holidays."
How long can I keep my items?,"You can keep your items for as long as you want, as long as your membership is in good standing. Keep them for a day, a week or 2 months — it’s entirely up to you! Return your items whenever you’re ready to select new ones."
How often can I switch my clothing rentals?,"You can switch your box for a new one as many times a month as you want. Simply keep any item(s) you would like to purchase and return the rest in the prelabeled bag whenever you’re ready to select new items. Since it’s unlimited rentals, you’re able to get a new box every week."
Can I purchase the items I rent?,"Yes, all items are available for purchase. Simply keep anything you want to purchase and return the rest. You’ll receive a members only discount between 20-80% off on all items."
Can I return a pair of shoes I purchased?,"To start a return on a pair of shoes, please email hello@fashionpass.com within 5 days of the delivery of the shoes to request a return authorization form. We must receive the completed authorization form back within 24 hours to provide a return label. After receiving the return label, the return must be scanned within 5 days to qualify for a refund. Please note, returns will only be accepted if shoes are unworn and in their original condition."
Are shipping and dry cleaning included with my membership?,Yes! Shipping and dry cleaning are included! We have a team of expert dry cleaners who professionally clean and care for all of our items.
Do you ship outside of the US?,"We're so sorry, but our service is currently only available to US residents."
How does the FashionPass membership work?,"With your FashionPass membership, you can rent 5 clothing items + 1 complimentary accessory with each order. Your membership covers 2 orders every month, but if you ever need more than 10 items in a month, you can unlock a 3rd order for $49.95!You also have the ability to transfer up to 5 items to your next order for free so you can keep renting what works + swap out what doesn't - simply visit the My Orders page or the My Current Order section on the homepage and select Transfer on the items you'd like to keep renting! Once you've indicated which items you'll be transferring, just send back the remaining items you want to swap out, and we'll look out for any transferred items in your next return.As a FashionPass member, you'll receive special members-only discounts on purchases. Want to keep any of your rentals for good? Simply keep any item(s) you would like to purchase and we will automatically charge the card on file for the discounted member price once we receive your return. You can also purchase items that you haven't rented before by selecting the Purchase for option on any product page.Earn FashionPass credit by reviewing your rental items and referring your friends! Members can receive $0.25 in credit for every written review and an additional $0.25 for every review photo. You can view, edit, and share your unique referral code any time on the Member Rewards page. FashionPass credit will automatically apply to your next billing or purchase - whichever comes first!The FashionPass membership also covers dry cleaning and standard shipping both ways."
It's my first time doing FashionPass - what do I need to know?,"We're so excited for you to try FashionPass! Once you've activated your membership, you can start adding rental items to your cart right away. With FashionPass, you can rent 5 clothing items + 1 complimentary accessory with each order, and your membership covers 2 orders every month. PS - if you ever need more than 2 orders in a month, you can unlock a 3rd order for $49.95!If your order is placed by our daily 12pm PST order cutoff time, it will be processed and shipped on the same business day. If it is placed after the 12pm PST order cutoff time, it will ship the following business day. The FashionPass membership covers standard shipping both ways, but you always have the option to upgrade to an expedited shipping method if you ever need your items by a certain time. Simply select an expedited shipping method when you're checking out with your rentals!You'll always receive your FashionPass rentals cleaned and inspected by our amazing team of professionals. Every item is carefully reviewed prior to leaving our facility, but in the rare case that you ever have an issue with any of your FashionPass items, we just ask that you alert our Member Concierge team within 24 hours of the delivery of the items. Dry cleaning is always included in your membership, so no need to clean any of your items while you're renting them!Your FashionPass will arrive with a prepaid FedEx Ground return label bag, which you can use to return your rentals when you're ready to send them back. If you ever want to keep renting some of your rentals and swap out the rest, you can transfer up to 5 items to your next order for free. Simply visit the My Current Order section on the homepage or the My Orders page, and select Transfer on the items you'd like to keep renting!Want to keep any of your rentals for good? Simply keep any item(s) you would like to purchase and we will automatically charge the card on file for the discounted member price once we receive your return.When you're ready to swap your items, just pack any items you are not keeping into the prepaid FedEx Ground bag and drop it off at your closest FedEx Ground location! Once your return has been accepted & scanned by FedEx, you'll receive an email to choose your next items within just a few hours :)."
When can I place my next order after returning my items?,"Once your return has been accepted & scanned by FedEx, you'll receive an email within just a few hours letting you know that it's time to choose your next FashionPass items!"
How long can I hold onto my rental items?,"You can hold onto your rental order for as long as you'd like! Your FashionPass membership gives you the option to place up to 2 orders each month, but if you aren't ready to part with the items you're renting, you can continue renting them for as long as you want.If you decide to keep your order past your billing date and into your next billing cycle, you will still have the ability to return your items and receive 2 new FashionPass orders that month."
Do I need to return my rental order before my billing cycle each month?,"No need to return your items before your billing date each month! You can hold onto your items for as long or as little as you'd like, and if you decide to keep your order past your billing date and into your next billing cycle, you will still have the ability to return your items and receive 2 new FashionPass orders that month."
What if one of my rentals doesn't fit?,"With your FashionPass membership you're covered for 2 orders each month, so you always have the option to swap any items that didn't work out for new ones! You can choose to swap your entire order, or if there are some items you'd like to hold onto a little longer, you can always keep renting them by transferring them to your next order.To transfer items to your next order, simply visit the My Orders page or the My Current Order section on the homepage and select the item(s) you would like to transfer. Once you've confirmed which items you're transferring, you do not need to return them with the rest of your current rental order. Instead, you'll hold onto them until you're ready to send back your next rental return!Note, any item(s) you transfer will take up a spot in your next rental order. Additionally, if you do not return the transferred item(s) with your next rental return, you will be charged for purchasing them."
What if I want to hold onto just some of my rentals for longer?Can I return my rentals separately?,"Yes! You can return your rentals separately by transferring any items you would like to keep renting to your next order :). Once you've indicated which items you'll be transferring, just send back the remaining items you want to swap out, and we'll look out for any transferred items in your next return!To transfer items, simply visit the My Orders page and select Transfer on the items you would like to continue renting. You can transfer up to 5 items to your next order for free.Note, any item(s) you transfer will take up a spot in your next rental order."
How do free item transfers work?,"To transfer an item to your next order, simply visit the My Orders page or the My Current Order section on the homepage and select the item(s) you would like to transfer. Once you've confirmed which items you're transferring, you do not need to return them with the rest of the items in your current rental order. Instead, you'll hold onto them until you're ready to send back your next rental return!Note, any item(s) you transfer will take up a spot in your next rental order. Additionally, if you do not return the transferred item(s) with your next rental return, you will be charged for purchasing them."
How many items can I transfer to my next order?,"You can transfer all but one of your rental items.Note, any item(s) you transfer will take up a rental spot in your next order."
Can I purchase my rental items?,Absolutely! Simply keep any item(s) you would like to purchase and we will automatically charge the card on file for the discounted member price when we receive your return.
Can I purchase my entire rental order?,"Of course! Please submit a ticket using the chat feature on our website to let us know that you'd like to purchase your whole rental order, and our Member Concierge team will take care of putting through the purchase and clearing your account to place a new order right away :)."
Can I ever rent more than 5 clothing items in one order?,"Yes! You can add one additional item to each rental order for $19.95 (plus applicable tax). Simply add 6 clothing items to your cart when you're placing your full FashionPass order, and checkout when you're ready! You'll be charged $19.95 for the additional item upon checking out."
What happens if one of my rental items arrives damaged?,"Oh no! We hope this never happens, but if you do receive an item in less than perfect condition, please submit a ticket using the chat feature (bottom-right corner) within 24 hours of the delivery of your items. We would be happy to help!"
What happens if I lose or damage one of my rentals?,"We totally get it, accidents happen! With your membership, you're covered for minor mishaps and general wear and tear.If the item is damaged beyond repair, lost, or stolen, you’ll be charged the member price of the item."
"I shipped my order to the wrong address, what should I do?","If your order has not shipped yet, you can update your address directly on the website up until the time your order is processed. Simply visit the My Orders page and click Change Shipping Address.If you do not see this option, or if your order is already in transit or delivered to the wrong address, please reach out to Member Concierge immediately."
My package says it was delivered but I can't find it.What should I do?,"If you are ever unable to locate your items, please submit a ticket using the chat feature (bottom-right corner) within 24 hours of the delivery of your items. Our Member Concierge team will open an investigation immediately!"
What should I do if I stain or spill on one of my rentals?,"Since you're covered for minor mishaps and general wear and tear, we kindly ask that you do not attempt to wash or dry clean your rental items. We have a team of professionals that know exactly how to repair and care for each and every item, so they will take care of it at our in-house dry cleaning facility.Note, we will do everything we possibly can to restore items to like-new condition upon return. However, if the item is damaged beyond repair, you'll be charged the member price of the item."
Am I able to wash or dry clean my rental items?,To maintain the longevity and quality of our items we do not permit members to wash or dry clean their rental items. We professionally dry clean every item and we have a team of experts who know exactly how to clean and care for each item.
Am I able to hem or tailor any of my rental items?,We do not permit alterations on any rental items.Items that are hemmed or tailored outside of our facility are considered damaged beyond repair and you will be charged the member price of the item.
How can I contact FashionPass?,"Our Member Concierge Bot (bottom-right corner) is available 24 7 to offer instant help! Whether you have a question about your order, membership, or anything else, the bot can help provide immediate answers. If your inquiry requires further support, the bot will guide you through submitting a ticket directly with our Member Concierge team.Our Member Concierge team is online from 8 AM - 4 PM CST, Monday - Saturday and typically responds wtihin 1 business day. Note, our team responds to tickets in the order received. To ensure quick resolution, please submit only one request per issue—opening multiple tickets may delay response times."
Can I purchase my rental items?,Absolutely! Simply keep any item(s) you would like to purchase and we will automatically charge the card on file for the discounted member price when we receive your return.
Can I purchase my entire rental order?,Of course! Please reach out to our Member Concierge team any time to request to purchase all of your rentals :). They would be happy to assist with processing the purchase and clearing your account for a new order immediately!
Can I exchange my purchase for a different size or item?,"Due to the fact that our inventory is constantly rotating, we don’t offer exchanges, but you are welcome to return your item at fashionpass.com returns and repurchase in a different size."
What is the difference between “New with tags” and “Like New”?,Our items come in either new with tags or in like-new condition: A new with tags item is one that still has the manufacturer brand tags attached and has never been worn before. This item will arrive brand new ready to be worn by you for the first time! A like-new item is one that has been previously worn by other FP members through our rental service. Every item that comes back to us gets dry cleaned and quality checked to ensure that they make it to their next closet in like-new condition.
What condition will my item come in?,"Once your order is placed, our system selects the first available item for you, meaning it come in either new with tags or in like-new condition: A new with tags item is one that still has the manufacturer brand tags attached and has never been worn before. This item will arrive brand new ready to be worn by you for the first time!A like-new item is one that has been previously worn by other FP members through our rental service. Every item that comes back to us gets dry cleaned and quality checked to ensure that they make it to their next closet in like new condition."
I purchased one of my rentals but changed my mind.How do I return it?,"No problem! To return any purchased rental item(s) for a refund, please send them back with your next consecutive rental return. Your refund will be issued to your original payment method once we physically receive the item(s) back.Please note, returned purchased item(s) are considered additional rentals, so a $19.95 Extended Rental fee will be deducted from the total refund amount for each item returned. Items that are returned after your next consecutive rental order will not qualify for a refund.We do not accept returns for items that are marked as Final Sale."
Can I return Final Sale items?,"If your rental purchase is marked as Final Sale, it cannot be returned for a refund or store credit."
What is the return policy for items purchased directly from FashionPass?,"All direct purchases must be returned according to the following policy. Please visit fashionpass.com returns to begin your return.- Item(s) must be unworn with all tags attached. All swimwear must be returned with tags and protective liners attached.- Purchases made directly from the FashionPass website may be returned for store credit only.- Your return must be scanned by a participating FedEx Ground location within 30 days after the delivery. If you are not a subscribed FashionPass member, a $9.95 return shipping fee will be deducted from your total store credit refund.- If you are an active FashionPass member, your direct purchase items must be returned with your current rental order.Note, items that are marked Final Sale cannot be returned for store credit..IMPORTANT: All purchase returns sent back outside of this policy will not be processed and cannot be recovered."
How do I return direct purchases as an active FashionPass member?,"If you are an active FashionPass member, your direct purchase items must be returned with your current rental order. Item(s) must be unworn with all tags attached, and all swimwear must be returned with tags and protective liners attached. Please visit fashionpass.com returns to indicate the purchased item(s) you will be returning. Note, purchases made directly from the FashionPass website may be returned for store credit only."
What if my purchased item arrives damaged?,"Oh no! We hope this never happens, but if you do receive an item in less than perfect condition, please visit www.fashionpass.com returns within 24 hours of the delivery to report the damage and start a return."
Where can I print my return label?,"If you created an account or are an active FashionPass member, you can always reprint your return label from the My Orders page on your account.If you do not have an account or membership, you can print your return label from the return confirmation email you receive after you have filled out a return form at fashionpass.com returns."
How long will it take to process my return?,"Purchase returns can take up to 14 days to be processed. You will receive a confirmation email once your return has been processed and your refund has been issued.Note, if you are an active FashionPass member, you will still be able to place your next rental order within a few hours of your return being scanned as accepted by FedEx."
What happens if I accidentally damage the item while trying it on?,We are unable to accept returns on purchase items that have signs of wear or are damaged beyond repair. The item must be unworn with the tags on to qualify for a refund.
How do I return my order with FedEx Ground?,"When you're ready, simply place any rentals you are not keeping into the prepaid FedEx Ground return bag included in your order. Then, schedule an Uber pickup for your return, or take it to your nearest FedEx or FedEx Walgreens location to be scanned in. You'll receive an email to choose your next rentals within a few hours of the acceptance scan from FedEx!IMPORTANT: Do not drop your return into a FedEx Express Drop Box or your return may be lost."
How do I reprint my return label?,"If you created an account or are a FashionPass member, you can always reprint your return label from the My Orders page on your account.If you do not have an account or membership, you can reprint your return label from the return confirmation email you receive after you have filled out a return form at fashionpass.com returns."
How long does shipping take?,"Items shipped with standard shipping are typically estimated to arrive within 1-3 business days. Your items will always ship from Los Angeles, so it just depends on where you're located! If you need your items sooner, please select one of the expedited options at checkout.Note, our daily order cutoff time is 12PM PST. All orders placed after 12PM PST will be processed and shipped the following business day."
What time will my shipment arrive?,"Deliveries are made between 8am and 8pm during weekdays and Saturdays. We provide tracking information so you can follow your package and see when it is out for delivery, however, we are unable to guarantee the exact time your order will arrive on the delivery date as it is up to the carrier’s discretion."
How do I update my billing and shipping information?,"If you created an account or are a FashionPass member, you can update your billing information and shipping addresses in the My Account menu. Find your name in the top right of the website, hover over it, and select the “My Account” option. Please note that the primary shipping address stored in your account settings will be the default shipping address."
How much does shipping cost?,"FashionPass members get free standard shipping on every order. If you are not a FashionPass Member, we offer free standard shipping on purchases with a subtotal of over $99.00. Applicable tax, credits, and shipping fees do not apply to the subtotal.We also offer additional rushed shipping options, including expedited 2-day and overnight. Pricing for those options can be found on the checkout page."
Can you deliver to a hotel?,"Sure! If you're shipping to a hotel, please be sure to write “ATTN: Guest” followed by the full name associated with your reservation in the address name field, and include the hotel name in the “company name” field to ensure your package is delivered correctly.Please also make sure the hotel concierge is expecting your delivery."
Is a signature required for delivery?,"Nope, no signature required!Note, it is your responsibility to provide us with information such as gate access code instructions or any details that may prevent your package from being delivered. It is also your responsibility to provide us with a safe and secure shipping address. We are not responsible for any packages left unattended."
My package says it was delivered but I can’t find it.What should I do?,"If you are ever unable to locate your items, please submit a ticket using the chat feature (bottom-right corner) within 24 hours of the delivery. Our Member Concierge team will open an investigation immediately!"
"I shipped my order to the wrong address, what should I do?","If you have an account and your order has not shipped yet, you can update your address directly on the website up until the time your order is processed. Simply visit the My Orders page and click Change Shipping Address.If you do not see this option, or if your order is already in transit or delivered to the wrong address, please reach out to Member Concierge immediately."
Can I exchange my purchase for a different size or item?,"Due to the fact that our inventory is constantly rotating, we don’t offer exchanges, but you are welcome to start a return for your direct purchase at fashionpass.com returns and repurchase in a different size.If you are looking to exchange an item you purchased from your rental order, please reach out to Member Concierge with the item you are looking to exchange and the order number it was purchased from."
What is the difference between “New with tags” and “Like New” for direct purchases?,"An item that is new with tags means it has never been rented before, making you the first person to recieve it!A like-new item is one that has been rented before, but has been thoughtfully cared for by our amazing team of professionals. Every like-new item has been thoroughly cleaned according to its specific care requirements, then pressed, inspected for quality, and packaged with care so that it’s ready for you to wear."
What condition will my direct purchase item come in?,"Once your order is placed, our system selects the first available item for you, meaning it come in either new with tags or in like-new condition: An item that is new with tags means it has never been rented before, making you the first person to recieve it!A like-new item is one that has been rented before, but has been thoughtfully cared for by our amazing team of professionals. Every like-new item has been thoroughly cleaned according to its specific care requirements, then pressed, inspected for quality, and packaged with care so that it’s ready for you to wear."
Where can I reprint my return label to send back my rentals?,You can always reprint your return label from the My Orders page on your account :).
Can I return Final Sale items?,Items that are marked Final Sale cannot be returned for a refund or store credit.
How can I use delivery services to return my FashionPass rentals?,"To return your FashionPass items using delivery services (e.g. Uber), just select FedEx dropoff in your delivery service app and enter your pickup and dropoff location. Please make sure to select a FedEx Ground Location! "
When will I be able to choose new items after sending back my return with Uber?,"Once your Uber driver has had your FashionPass return scanned by FedEx, you’ll be able to place your next order within your usual check-in time! Members on the Legacy and Socialite plans will be able to select new items within two days of the scan on the return, while Trendsetter and Wanderlust members will be able to select new items on the same day as the scan."
How much does it cost to return my FashionPass rentals using Uber?,Uber charges a $5 flat fee for all returns.
not seeing the Return a Package option on my Uber account.What does this mean?,"Oh no! Uber currently offers their Returns service to the following major metro areas: Atlanta, Austin, Baltimore-Maryland, Boston, Charleston, Charlotte, Chicago, Cincinnati, Cleveland, Columbus, Connecticut, Dallas, Denver, Detroit, Fort Myers-Naples, Hampton Roads, Honolulu, Houston, Inland Empire, Indianapolis, Jacksonville, Kansas City, Las Vegas, Lehigh Valley, Los Angeles, Miami, Milwaukee, Minneapolis – St. Paul, Nashville, New Jersey, New Orleans, NYC Suburbs, Orange County, Orlando, Palm Springs, Philadelphia, Phoenix, Pittsburgh, Portland, Raleigh-Durham, Richmond, Sacramento, St. Louis, Salt Lake City, San Antonio, San Diego, San Francisco, Seattle, Tampa Bay, Tucson, upstate NY, and Washington D.C.If your city is not in this list, it may be coming soon!"
How can I use Uber to return my FashionPass rentals?,"To return your FashionPass items using Uber, simply login to your Uber account and select FedEx Dropoffs. Enter your pickup location and select the nearest FedEx Ground location as your dropoff location. Then select “I have a return shipping label” and confirm!"
When will I be able to choose new items after sending back my return with Uber?,"Once your return has been accepted & scanned by FedEx, you'll receive an email within just a few hours letting you know that it's time to choose your next FashionPass items!"
How much does it cost to return my FashionPass rentals using Uber?,Uber charges a $5 flat fee for all returns.
not seeing the Return a Package option on my Uber account.What does this mean?,"Oh no! Uber currently offers their Returns service to the following major metro areas: Atlanta, Austin, Baltimore-Maryland, Boston, Charleston, Charlotte, Chicago, Cincinnati, Cleveland, Columbus, Connecticut, Dallas, Denver, Detroit, Fort Myers-Naples, Hampton Roads, Honolulu, Houston, Inland Empire, Indianapolis, Jacksonville, Kansas City, Las Vegas, Lehigh Valley, Los Angeles, Miami, Milwaukee, Minneapolis – St. Paul, Nashville, New Jersey, New Orleans, NYC Suburbs, Orange County, Orlando, Palm Springs, Philadelphia, Phoenix, Pittsburgh, Portland, Raleigh-Durham, Richmond, Sacramento, St. Louis, Salt Lake City, San Antonio, San Diego, San Francisco, Seattle, Tampa Bay, Tucson, upstate NY, and Washington D.C.If your city is not in this list, it may be coming soon!"
"If I have already received my 2 orders for the month, when can I order again?","If you have already received your two orders for the month, your next order unlocks on your next billing cycle date.If you ever need to place a new order before your next billing date, you can unlock a 3rd shipment for $49.95 (plus applicable tax)."
How do I unlock a 3rd order $49.95?,"If you've already returned your 2 FashionPass orders for the month and you want to receive more items before your next shipment unlocks, simply add more items to your cart and checkout! You'll be charged $49.95 (plus applicable tax) for your 3rd shipment upon checkout.Note, if you have chosen to transfer any items from your 2nd order, the transferred items will take up rental spots in your 3rd order."
What does this mean for my current plan?,"Starting May 1, all members will be migrated to the new FashionPass plan. You'll need to accept these changes to continue using your membership, but you will not be billed the new membership price ($125 mo) until your following billing date. If you do not wish to continue your membership on the new FashionPass plan, you will need to cancel your account and return any outstanding items before your next billing date."
When will I be able to order on the new plan?,"After you’ve opted into the new FashionPass plan, you will be able to place your next order with 5 clothing items + 1 complimentary accessory once you have returned any items you are actively renting and have been checked in for a new order."
How soon can I choose my next items after sending back my return?,"All members on the new FashionPass plan will have same-day check-in, meaning you'll be able to choose your next items within a few hours of your return being scanned by FedEx!"
How will free item transfers work on the new plan?,"You will be able to transfer up to 5 items to your next order for free - simply visit the My Orders page and click Transfer on any of the items you would like to keep renting, then send back the rest! Note, any items you choose to transfer will take up a rental spot in your next order."
Will I be charged the price of the new plan on my next billing date?,"You will be able to enjoy the new plan at your current pricing for your first billing cycle on the new plan. You will not be charged the price of the new plan ($125 mo, plus applicable tax) until your following billing date.Note, if you are a Wanderlust member, your membership price will be decreased to $125 mo (plus applicable tax) on May 1."
Will I need to return my FashionPass order before my billing date each month?,"You can still hold onto your items for as long as you would like, so you do not need to return your FashionPass order before your billing date each month.If you decide to keep your order past your billing date and into your next billing cycle, you will still have the ability to return your items and receive two new orders that month."
"If I have already received my two orders for the month, when can I order again?","If you have already received your two orders for the month, your next order unlocks on your next billing cycle date.If you ever need to place a new order before your next billing date, you have the option to place a third order of 5 clothing items + 1 complimentary accessory for $49.95 (plus applicable tax)."
Can I still add items to my order on the new plan?,"Since the new plan allows for 5 clothing items at a time, additional items will be limited to one per order. You will still have the ability to purchase one additional rental spot for $19.95 when you are placing your full membership order.Note, members will no longer have the ability to purchase and receive additional items separately from their full membership order."
Do I still get a monthly purchase discount with the new plan?,The new FashionPass plan does not include a monthly purchase discount.
What is FashionPass?,"FashionPass is the most flexible way to rent your clothes for all of life's moments - big and small. With your membership, you can rent up to 2 orders per month with 5 clothing items + 1 accessory in each order. Just return your order as soon as you’re ready for your next one!"
How fast is shipping?,All orders placed before 12PM PST will arrive within 1-3 business days. If you need your items even sooner - we have expedited options available at checkout.
How long can I hold onto my rental items?,"You can hold onto your rental order for as long as you'd like as long as your account is in good standing! Please note, you can place up to 2 orders each month."
What if I want to keep renting one of my items and send the rest back?,"You can transfer any items you'd like to keep renting to your next order, free of charge :). Note, you can transfer up to 5 items to your next order. Any items you transfer will take up a spot in your next rental order."
How do I transfer an item?,"To transfer some of your items, just visit the My Orders page and use the Transfer Item button to indicate which items you would like to transfer before sending back your return :).Note, you can transfer up to 5 items to your next order. Any items you transfer will take up a spot in your next rental order."
How long does shipping take?,"All orders processed before 12pm PST are processed and shipped on the same business day! If your order is placed after the 12pm PST, it will ship on the following business day.Your items will always ship from Los Angeles, so depending on where you're located, standard shipping can take 1-3 business days. We also offer rushed shipping options at checkout if you ever need to receive them sooner!"
